hour,src_scion_addr,dst_scion_addr,avg,src_ip_addr,dst_ip_addr
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",184.25376884422113,10.0.0.1,62.40.110.140
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",187.8031825795645,10.0.0.1,62.40.110.148
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",296.699804523876,10.0.0.1,ccc
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.0463428252372977,10.0.0.1,137.132.22.29
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",433.27310807037134,10.0.0.1,134.75.254.214
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",191.20491345616972,10.0.0.1,134.75.253.186
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",279.06450712091595,10.0.0.1,134.75.254.171
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",337.9623010332309,10.0.0.1,145.40.89.243
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",216.22305974316023,10.0.0.1,141.44.25.151
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",321.3956995252723,10.0.0.1,200.129.206.243
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",300.5611731843576,10.0.0.1,128.112.49.68
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",19.782475660639776,134.75.253.186,129.132.230.98
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.177746870653683,134.75.253.186,62.40.110.132
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.258136300417246,134.75.253.186,62.40.110.140
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.822531293463143,134.75.253.186,62.40.110.148
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.14742698191932,134.75.253.186,ccc
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",192.77413073713487,134.75.253.186,137.132.22.29
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.02531293463144,134.75.253.186,134.75.254.214
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",190.95438108484004,134.75.253.186,134.75.254.68
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.9799721835883,134.75.253.186,134.75.254.171
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",161.2511861568518,134.75.253.186,145.40.89.243
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",39.26564673157162,134.75.253.186,141.44.25.151
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",141.43532684283727,134.75.253.186,200.129.206.243
2025-01-20 02:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.13546592489568,134.75.253.186,128.112.49.68
