"minute","avg_rtt","prcount"
"2025-01-20 05:24:00+00","257.8428022212729603","2341"
"2025-01-20 05:25:00+00","257.9568376068376068","2340"
"2025-01-20 05:26:00+00","257.6713675213675214","2340"
"2025-01-20 05:27:00+00","257.7344150298889838","2342"
"2025-01-20 05:28:00+00","229.3228014744602422","1899"
"2025-01-20 05:29:00+00","196.3992322456813820","1563"
"2025-01-20 05:30:00+00","196.2480818414322251","1564"
"2025-01-20 05:31:00+00","196.6901860166773573","1559"
"2025-01-20 05:32:00+00","196.7435897435897436","1560"
"2025-01-20 05:33:00+00","196.6354900704676489","1561"
"2025-01-20 05:34:00+00","196.3973128598848369","1563"
"2025-01-20 05:35:00+00","196.6374119154388213","1561"
"2025-01-20 05:36:00+00","196.7615384615384615","1560"
"2025-01-20 05:37:00+00","196.6515054452274183","1561"
"2025-01-20 05:38:00+00","196.3979526551503519","1563"
"2025-01-20 05:39:00+00","196.6117873158231903","1561"
"2025-01-20 05:40:00+00","196.5102432778489117","1562"
"2025-01-20 05:41:00+00","196.7825529185375241","1559"
"2025-01-20 05:42:00+00","196.6207559256886611","1561"
"2025-01-20 05:43:00+00","196.4056301983365323","1563"
"2025-01-20 05:44:00+00","196.6393337604099936","1561"
"2025-01-20 05:45:00+00","196.7570512820512821","1560"
"2025-01-20 05:46:00+00","196.7455128205128205","1560"
"2025-01-20 05:47:00+00","196.5153649167733675","1562"
"2025-01-20 05:48:00+00","196.7416666666666667","1560"
"2025-01-20 05:49:00+00","196.7634615384615385","1560"
"2025-01-20 05:50:00+00","196.5044814340588988","1562"
"2025-01-20 05:51:00+00","196.6579115951313261","1561"
"2025-01-20 05:52:00+00","196.6694426649583600","1561"
"2025-01-20 05:53:00+00","196.5147247119078105","1562"
"2025-01-20 05:54:00+00","196.6290839205637412","1561"
"2025-01-20 05:55:00+00","196.3896353166986564","1563"
"2025-01-20 05:56:00+00","196.5313700384122919","1562"
"2025-01-20 05:57:00+00","196.5102432778489117","1562"
"2025-01-20 05:58:00+00","196.3653230966090851","1563"
"2025-01-20 05:59:00+00","196.4078104993597951","1562"
"2025-01-20 06:00:00+00","196.7532051282051282","1560"
"2025-01-20 06:01:00+00","196.6143497757847534","1561"
"2025-01-20 06:02:00+00","196.4967989756722151","1562"
"2025-01-20 06:03:00+00","192.1107033639143731","1635"
"2025-01-20 06:04:00+00","196.7935897435897436","1560"
"2025-01-20 06:05:00+00","196.5192061459667093","1562"
"2025-01-20 06:06:00+00","196.5179257362355954","1562"
"2025-01-20 06:07:00+00","196.5518565941101152","1562"
"2025-01-20 06:08:00+00","196.5249679897567222","1562"
"2025-01-20 06:09:00+00","196.3806781829814459","1563"
"2025-01-20 06:10:00+00","196.6278026905829596","1561"
"2025-01-20 06:11:00+00","196.3536194746957079","1561"
"2025-01-20 06:12:00+00","196.5569782330345711","1562"
"2025-01-20 06:13:00+00","197.0045045045045045","1554"
"2025-01-20 06:14:00+00","196.6502242152466368","1561"
"2025-01-20 06:15:00+00","196.7735728030788967","1559"
"2025-01-20 06:16:00+00","196.4133077415227127","1563"
"2025-01-20 06:17:00+00","196.7820512820512821","1560"
"2025-01-20 06:18:00+00","196.7993589743589744","1560"
"2025-01-20 06:19:00+00","196.5262483994878361","1562"
"2025-01-20 06:20:00+00","196.4062699936020473","1563"
"2025-01-20 06:21:00+00","196.7467948717948718","1560"
"2025-01-20 06:22:00+00","196.5317104420243434","1561"
"2025-01-20 06:23:00+00","196.2647058823529412","1564"
"2025-01-20 06:24:00+00","196.2202304737516005","1562"
"2025-01-20 06:25:00+00","196.6585522101217168","1561"
"2025-01-20 06:26:00+00","196.6316463805253043","1561"
"2025-01-20 06:27:00+00","196.5147247119078105","1562"
"2025-01-20 06:28:00+00","196.4017914267434421","1563"
