hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-22 04:00:00+00:00,96.90707318222515,1.0,42442,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 04:00:00+00:00,132.08383544812267,1.0,42321,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 04:00:00+00:00,216.7131097825145,1.0,34623,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 05:00:00+00:00,277.11281134815147,1.0,26859,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 05:00:00+00:00,97.48636895801971,1.0,41853,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 05:00:00+00:00,133.97527738476433,1.0,13429,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 05:00:00+00:00,215.06845875294053,1.0,37833,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 06:00:00+00:00,282.7861261473288,1.0,33992,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 06:00:00+00:00,97.06098516440467,1.0,39567,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 06:00:00+00:00,144.53775697130064,1.0,29478,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 06:00:00+00:00,123.59705807760588,1.0,78860,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 06:00:00+00:00,212.8590515342828,1.0,34055,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 07:00:00+00:00,284.68474550364294,1.0,39254,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 07:00:00+00:00,219.19803563270895,1.0,39402,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 07:00:00+00:00,96.95750328647992,1.0,39556,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 07:00:00+00:00,144.57986278133623,1.0,39499,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 07:00:00+00:00,213.9692249240121,1.0,39480,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 08:00:00+00:00,284.95818665315943,1.0,39485,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 08:00:00+00:00,219.31566831933625,1.0,39532,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 08:00:00+00:00,97.09445569620253,1.0,39500,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 08:00:00+00:00,144.81985675600436,1.0,39513,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 08:00:00+00:00,123.88677588245228,1.0,59210,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 08:00:00+00:00,216.4654021244309,1.0,39540,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 09:00:00+00:00,284.6328556362057,1.0,32238,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 09:00:00+00:00,218.9067061293668,1.0,39531,"71-2:0:3d,10.0.0.1:0",10.0.0.1
