"src_scion_addr","dst_scion_addr","avg_paths","min_paths","max_paths","avg_diff_to_max","median_diff_to_max","avg_min_hops","avg_max_hops"
"71-2:0:3f,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041","13.6586874791795555","5","17","3.3413125208204445","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041","41.0009539254030335","9","55","13.9990460745969665","2","4.4072307545549938","7.4907946198607269"
"71-2:0:48,127.0.0.1:0","71-20965,10.0.1.1:30041","12.8354862295881063","2","15","2.1645137704118937","0","4.0000000000000000","6.9615403363392640"
"71-2:0:48,127.0.0.1:0","71-20965,10.0.2.1:30041","12.8294596306582858","2","15","2.1705403693417142","0","4.0000000000000000","6.9599961019344150"
"71-2:0:48,127.0.0.1:0","71-20965,10.0.3.1:30041","12.8366650414431984","2","15","2.1633349585568016","0","4.0000000000000000","6.9622623110677718"
"71-2:0:48,127.0.0.1:0","71-225,127.0.0.1:30041","20.4102894812267125","3","46","25.5897105187732875","23","4.0002866150759530","9.1959491735931977"
"71-2:0:48,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041","16.5981062085122999","5","29","12.4018937914877001","8","6.8074970714564623","8.8945724326434986"
"71-2:0:48,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041","14.5420447057630899","3","21","6.4579552942369101","8","6.0000000000000000","6.9285822900299052"
"71-2:0:48,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041","15.5904993909866017","3","17","1.40950060901339829476","0","6.0000000000000000","6.0000000000000000"
"71-2:0:48,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041","19.6194862796705171","3","25","5.3805137203294829","4","4.8102549105619730","7.7697519130477165"
"71-2:0:48,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041","13.2167170584219253","2","15","1.7832829415780747","0","5.6933580415488150","8.7472934750804643"
"71-2:0:48,127.0.0.1:0","71-2:0:5c,127.0.0.1:30041","23.3166385958691605","2","30","6.6833614041308395","0","4.3646839819164968","8.5032355287651804"
